item	instruction	original_instruction	question	statement	simple_contrastive_statement	strong_constrastive_statement	response_options	scale	construct	original_item	direction	sub_scale	explicit_social_bias
138	Please read the following sentences and indicate your agreement or disagreement:	FALSE	I don’t mind my partner doing something just to make me jealous.	I don’t mind my partner doing something just to make me jealous.	It's not that I don't mind my partner doing something just to make me jealous.	I can't stand my partner doing something just to make me jealous.	Strongly disagree; Disagree; Agree; Strongly Agree	IPVAS	Intimate Partner Violence Attitude	TRUE	high	Threat	FALSE
139	Please read the following sentences and indicate your agreement or disagreement:	FALSE	It is no big deal if my partner insults me in front of others.	It is no big deal if my partner insults me in front of others.	It is a big deal if my partner insults me in front of others.	It is a big deal if my partner insults me in front of others.	Strongly disagree; Disagree; Agree; Strongly Agree	IPVAS	Intimate Partner Violence Attitude	TRUE	high	Threat	FALSE
140	Please read the following sentences and indicate your agreement or disagreement:	FALSE	It is okay for me to blame my partner when I do bad things.	It is okay for me to blame my partner when I do bad things.	It is not okay for me to blame my partner when I do bad things.	It is not okay for me to blame my partner when I do bad things.	Strongly disagree; Disagree; Agree; Strongly Agree	IPVAS	Intimate Partner Violence Attitude	TRUE	high	Threat	FALSE
141	Please read the following sentences and indicate your agreement or disagreement:	FALSE	It is okay for me to accept blame for my partner doing bad things.	It is okay for me to accept blame for my partner doing bad things.	It is not okay for me to accept blame for my partner doing bad things.	It is not okay for me to accept blame for my partner doing bad things.	Strongly disagree; Disagree; Agree; Strongly Agree	IPVAS	Intimate Partner Violence Attitude	TRUE	high	Threat	FALSE
142	Please read the following sentences and indicate your agreement or disagreement:	FALSE	It is not acceptable for my partner to bring up something from the past to hurt me.	It is not acceptable for my partner to bring up something from the past to hurt me.	It is acceptable for my partner to bring up something from the past to hurt me.	It is acceptable for my partner to bring up something from the past to hurt me.	Strongly disagree; Disagree; Agree; Strongly Agree	IPVAS	Intimate Partner Violence Attitude	TRUE	low	Threat	FALSE
143	Please read the following sentences and indicate your agreement or disagreement:	FALSE	It is not appropriate to insult my partner in front of others.	It is not appropriate to insult my partner in front of others.	It is appropriate to insult my partner in front of others.	It is appropriate to insult my partner in front of others.	Strongly disagree; Disagree; Agree; Strongly Agree	IPVAS	Intimate Partner Violence Attitude	TRUE	low	Threat	FALSE
144	Please read the following sentences and indicate your agreement or disagreement:	FALSE	I would not stay with a partner who tried to keep me from doing things with other people.	I would not stay with a partner who tried to keep me from doing things with other people.	I would stay with a partner who tried to keep me from doing things with other people.	I would stay with a partner who tried to keep me from doing things with other people.	Strongly disagree; Disagree; Agree; Strongly Agree	IPVAS	Intimate Partner Violence Attitude	TRUE	low	Control	FALSE
145	Please read the following sentences and indicate your agreement or disagreement:	FALSE	I think my partner should give me a detailed account of what he or she did during the day.	I think my partner should give me a detailed account of what he or she did during the day.	I don't think my partner should give me a detailed account of what he or she did during the day.	I think my partner never should give me a detailed account of what he or she did during the day.	Strongly disagree; Disagree; Agree; Strongly Agree	IPVAS	Intimate Partner Violence Attitude	TRUE	high	Control	FALSE
146	Please read the following sentences and indicate your agreement or disagreement:	FALSE	I would not like for my partner to ask me what I did every minute of the day.	I would not like for my partner to ask me what I did every minute of the day.	I would like for my partner to ask me what I did every minute of the day.	I would love for my partner to ask me what I did every minute of the day.	Strongly disagree; Disagree; Agree; Strongly Agree	IPVAS	Intimate Partner Violence Attitude	TRUE	low	Control	FALSE
147	Please read the following sentences and indicate your agreement or disagreement:	FALSE	It is okay for me to tell my partner not to talk to someone of the opposite sex.	It is okay for me to tell my partner not to talk to someone of the opposite sex.	It is not okay for me to tell my partner not to talk to someone of the opposite sex.	It is not okay for me to tell my partner not to talk to someone of the opposite sex.	Strongly disagree; Disagree; Agree; Strongly Agree	IPVAS	Intimate Partner Violence Attitude	TRUE	high	Control	FALSE
148	Please read the following sentences and indicate your agreement or disagreement:	FALSE	I would be flattered if my partner told me not to talk to someone of the opposite sex.	I would be flattered if my partner told me not to talk to someone of the opposite sex.	I would not be flattered if my partner told me not to talk to someone of the opposite sex.	I would be offended if my partner told me not to talk to someone of the opposite sex.	Strongly disagree; Disagree; Agree; Strongly Agree	IPVAS	Intimate Partner Violence Attitude	TRUE	high	Control	FALSE
